player,position,age,goals,apps,height
Mathieu Debuchy,Defender,32,20,324,1.77
Anas Sharbini,Midfielder,31,58,232,1.8
Thiago Emiliano da Silva,Defender,33,30,414,1.83
Robson de Souza,Forward,34,167,527,1.72
Carlos Salcido,Defender,37,20,544,1.76
Fernando José Torres Sanz,Forward,33,196,505,1.86
Wesley Sneijder,Midfielder,33,102,371,1.7
Sotirios Kyrgiakos,Defender,38,24,331,1.93
David Wayne Hoilett,Midfielder,27,31,238,1.73
Behrang Safari,Left-back,33,3,299,1.84
Garath McCleary,Winger,30,48,345,1.778
Hugo Lloris,Goalkeeper,31,0,399,1.88
Ryo Miyaichi,Midfielder,25,13,74,1.83
Anthony Mounier,Midfielder,30,29,235,1.74
Kim Mikael Källström,Midfielder,35,100,553,1.85
Katlego Mphela,Forward,33,65,279,1.82
Xherdan Shaqiri,Midfielder,26,45,229,1.7
Paul Pogba,Midfielder,24,33,167,1.91
Mauricio Aníbal Isla Isla,Defender,29,13,309,1.76
Kenwyne Jones,Forward,33,151,478,1.8796
Cheick Tioté,Defensive midfielder,31,5,278,1.8
Paulo Machado,Midfielder,31,36,364,1.74
Gaël Bigirimana,Midfielder,24,1,63,1.7526
Ezequiel Iván Lavezzi,Midfielder,32,125,474,1.73
Nilmar,Forward,33,136,364,1.8
Roland Juhász,Defender,34,47,416,1.93
Samir Handanović,Goalkeeper,33,0,402,1.93
César Azpilicueta Tanco,Defender,28,6,338,1.78
James McClean,Midfielder,28,44,303,1.8
Yosef Shai Benayoun,Midfielder,37,159,536,1.74
Nicolas Nkoulou,Defender,27,6,316,1.8
Marouane Fellaini-Bakkioui,Midfielder,30,42,287,1.94
Ricardo Alexandre Martins Soares Pereira,Goalkeeper,42,1,442,1.85
Carlos Javier Cuéllar Jiménez,Defender,36,14,346,1.9
Granit Xhaka,Midfielder,25,12,192,1.85
Faouzi Chaouchi,Goalkeeper,33,1,293,1.94
Jores Okore,Defender,25,6,118,1.83
El Hadji Diouf,Forward,37,84,497,1.81
Kevin De Bruyne,Midfielder,26,50,235,1.81
David Marcelo Pizarro Cortés,Midfielder,38,35,488,1.68
Giovani dos Santos,Attacking midfielder,28,64,254,1.78
Steven N'Kemboanza Mike,Midfielder,29,15,267,1.9
Danny Sean Guthrie,Midfielder,30,12,223,1.7526
Stephen Hunt,Winger,36,56,461,1.72
Jordi Alba,Defender,28,18,253,1.7
Jefferson Farfán,Forward,33,147,447,1.78
Diego Forlán,Forward,38,249,622,1.8
Matías Agustín Silvestre,Defender,33,19,277,1.85
Ismaïl Aissati,Midfielder,29,19,232,1.74
Fábio Aurélio Rodrigues,Left back,38,18,255,1.73
Kieran Edward Richardson,Centre midfielder,33,27,285,1.7526
Christian Dannemann Eriksen,Midfielder,26,59,253,1.82
Jéferson Gomes do Nascimento,Goalkeeper,32,0,63,1.82
James David Rodríguez Rubio,Midfielder,26,94,294,1.8
Yann M'Vila,Midfielder,27,5,252,1.82
Jordan Ayew,Forward,26,52,238,1.82
Osvaldo Nicolás Fabián Gaitán,Midfielder,30,41,239,1.74
Victor Moses,Defender,27,38,249,1.78
Salomon Armand Magloire Kalou,Forward,32,153,445,1.84
Claudio Pizarro,Forward,39,248,602,1.84
Francisco Javier García Fernández,Midfielder,31,32,349,1.85
Jack Grimmer,Defender,24,4,85,1.8288
Szabolcs Huszti,Midfielder,34,70,351,1.73
Robin van Persie,Forward,34,177,400,1.88
Pepe Reina,Goalkeeper,35,0,551,1.88
João Pereira,Defender,34,11,334,1.72
François Joseph Modesto,Defender,39,17,498,1.83
Roberto Soldado,Forward,32,191,430,1.79
Lucas Barrios,Forward,33,166,361,1.89
Hadj Bouguèche,Striker,34,99,343,1.74
Rumen Tsvetanov Trifonov,Defender,33,9,219,1.8
Steven Jerome Pienaar,Midfielder,35,59,406,1.7
Moussa Sissoko,Midfielder,28,33,334,1.87
Leon Julian Brendan Best,Forward,31,59,273,1.85
Stéphane Sessègnon,Midfielder,33,75,436,1.68
Brett Trevor Holman,Midfielder,33,105,486,1.77
Kevin Cyril Davies,Forward,40,123,701,1.8288
Burim Emir Bajrami,Midfielder,30,37,229,1.8
Christopher Samba,Defender,33,31,345,1.94
Maicon Douglas Sisenando,Defender,36,33,439,1.84
Adriano Vieira Louzada,Forward,39,88,245,1.81
Hatem Ben Arfa,Midfielder,31,64,279,1.78
Tom Rogic,Attacking Midfielder,25,39,133,1.88
Gary Alexis Medel Soto,Defender,30,33,411,1.72
Rodrigo Palacio,Forward,36,155,456,1.76
Daniel Andre Sturridge,Forward,28,84,187,1.88
Sambou Yatabaré,Midfielder,29,12,180,1.9
Grant Holt,Forward,36,199,533,1.8542
Jack Butland,Goalkeeper,25,0,159,1.9558
Edin Džeko,Forward,31,206,468,1.93
Shinji Kagawa,Attacking midfielder,28,96,278,1.72
Bernard Mendy,Defender,36,13,425,1.78
Claudemir Jerônimo Barreto,Forward,36,120,412,1.79
Pavel Pogrebnyak,Forward,34,116,402,1.88
Gastón Ramírez,Midfielder,27,36,237,1.83
Kostas Manolas,Defender,26,9,228,1.87
Bakaye Traoré,Midfielder,33,29,254,1.86
Federico Macheda,Forward,26,25,127,1.8288
Leighton Baines,Left-back,33,31,476,1.7
Ritchie Ria Alfons De Laet,Defender,29,5,180,1.86
Guilherme Madalena Siqueira,Defender,31,15,209,1.83
Evaeverson Lemos da Silva,Forward,37,134,417,1.89
Dirk Kuyt,Forward,37,245,707,1.83
Hugo Andrés Rodallega Camacho,Midfielder,32,145,440,1.81
Thiago Motta,Midfielder,35,43,420,1.87
Foued Kadir,Midfielder,34,39,328,1.8
Olivier Giroud,Forward,31,157,384,1.92
Mark Peter Gertruda Andreas van Bommel,Defensive midfielder,40,91,642,1.87
Michael Ballack,Midfielder,41,166,573,1.88
Nacer Chadli,Attacking midfielder,28,76,300,1.87
Fredy Guarín,Midfielder,31,42,343,1.83
Nikica Jelavić,Forward,32,110,345,1.87
Robert Green,Goalkeeper,38,0,580,1.8796
Clément Chantôme,Midfielder,30,8,237,1.79
Adil Rami,Centre back,32,17,360,1.9
Bastian Schweinsteiger,Midfielder,33,52,412,1.83
Borja Valero,Midfielder,33,40,401,1.75
Branislav Ivanović,Defender,34,50,510,1.88
Mohamed Diamé,Midfielder,30,29,355,1.84
Liam Ridgewell,Defender,33,23,399,1.8796
Karl Levi Daniel Henry,Midfielder,35,10,488,1.8542
Aly Cissokho,Defender,30,3,228,1.81
André Horst Schürrle,Forward,27,67,236,1.84
Javi Martínez,Defender,29,30,335,1.9
Taye Taiwo,Defender,32,31,341,1.83
Lewis Harry Holtby,Midfielder,27,35,239,1.76
Mamadou Niang,Striker,38,202,515,1.78
Billy Sharp,Forward,32,168,405,1.75
Séamus John James Given,Goalkeeper,41,0,628,1.85
Jeremiah Akaminko,Defender,29,9,223,1.83
Tongo Doumbia,Midfielder,28,25,210,1.92
Toby Alderweireld,Defender,29,17,234,1.87
Magaye Serigne Falilou,Midfielder,27,30,137,1.78
Kolo Touré,Defender,36,19,477,1.78
Mauro Matías Zárate Riga,Forward,30,94,319,1.76
Renato Augusto,Midfielder,30,22,264,1.86
Kwadwo Asamoah,Defender,29,16,262,1.73
Peter Odemwingie,Midfielder,36,121,452,1.82
Sascha Riether,Defender,34,11,414,1.74
João Moutinho,Midfielder,31,34,402,1.7
Antolín Alcaraz,Defender,35,16,305,1.87
Djibril Cissé,Forward,36,196,468,1.83
Robert Lewandowski,Forward,29,234,405,1.85
Lukas Josef Podolski,Forward,32,141,368,1.82
José Bosingwa,Defender,35,6,377,1.83
Juan Sebastián Agudelo,Forward,25,48,167,1.85
Romain Amalfitano,Midfielder,28,15,162,1.74
Tranquillo Barnetta,Midfielder,32,60,432,1.78
Timothy Filiga Cahill,Forward,38,206,650,1.78
Florian Thauvin,Winger,25,35,170,1.79
Zlatan Muslimović,Striker,37,76,313,1.89
Jermaine Lloyd Pennant,Midfielder,35,19,336,1.73
Markel Susaeta Laskurain,Midfielder,30,41,383,1.79
Dídac Vilà Rosselló,Defender,28,6,176,1.84
Júlio César Soares de Espíndola,Goalkeeper,38,0,528,1.87
Neymar,Forward,26,131,226,1.75
Maurice Exslager,Forward,27,28,121,1.78
Carlos Vela,Forward,29,93,340,1.78
Karim Ansarifard,Forward,27,98,255,1.86
Cristian Cuevas,Defender,22,6,76,1.75
Nathaniel Clyne,Right-back,26,5,287,1.7526
Wayne Michael Bridge,Left back,37,7,411,1.8
Konstantin Rausch,Defender,27,15,262,1.78
Emile William Ivanhoe Heskey,Forward,40,142,662,1.8796
Leandro de Deus Santos,Midfielder,40,11,57,1.73
Brek Shea,Defender,28,55,202,1.905
Joshua Mark McEachran,Midfielder,25,2,129,1.78
Nicholas Edward Powell,Midfielder,23,29,125,1.83
Iago Aspas,Forward,30,76,296,1.76
Franco Jara,Forward,29,51,213,1.79
Guillaume Hoarau,Forward,34,124,311,1.92
Andrés Guardado,Midfielder,31,56,441,1.69
Esteban Granero,Midfielder,30,27,306,1.8
Cristian Tello Herrera,Forward,26,33,173,1.78
Lucas Rodrigo Biglia,Midfielder,32,25,422,1.78
Michel Vorm,Goalkeeper,34,0,283,1.84
George Jan Boyd,Midfielder,32,106,518,1.8542
Breno,Defender,28,2,71,1.87
Bruno Miguel Borges Fernandes,Midfielder,23,17,123,1.73
Georgi Ventsislavov Milanov,Midfielder,26,37,235,1.84
Mathieu Flamini,Midfielder,34,18,292,1.76
Timm Klose,Defender,29,13,235,1.93
Sergio Leonel Agüero,Forward,29,215,402,1.73
Andrei Arshavin,Midfielder,36,113,561,1.73
Rui Patrício,Goalkeeper,30,0,289,1.9
Nani,Midfielder,31,74,380,1.75
Tal Ben Haim,Defender,35,7,417,1.83
Simon Luc,Goalkeeper,30,1,316,1.93
Rafinha,Defender,32,17,362,1.71
Tijane Freitas Reis,Midfielder,26,6,64,1.81
Fernando Llorente,Forward,33,141,422,1.93
Reza Haghighi Shandiz,Defensive midfielder,29,10,199,1.9
Danny Welbeck,Forward,27,42,183,1.85
Emanuel Pogatetz,Defender,35,11,423,1.9
Maurice Edu,Defender,31,19,254,1.8288
Ivelin Ivanov Popov,Forward,30,71,345,1.82
Geoffrey Agundogbia S.P,Midfielder,25,12,184,1.88
Fabio Borini,Forward,26,39,146,1.8
Carlos Eduardo de Oliveira Alves,Midfielder,28,35,166,1.84
Mickaël Zidro Tavares,Midfielder,35,21,258,1.85
Philipp Hosiner,Forward,28,90,217,1.79
Bruno Martins Indi,Defender,26,8,181,1.85
James Troisi,Midfielder,29,40,202,1.8
Francisco Román Alarcón Suárez,Midfielder,25,55,252,1.76
Gino Peruzzi Lucchetti,Defender,25,4,103,1.78
Aleksandr Aleksandrovich Kokorin,Midfielder,26,66,253,1.83
Gerard Deulofeu Lázaro,Midfielder,23,45,187,1.77
Sekou Jabateh Oliseh,Midfielder,27,14,127,1.78
Igor de Camargo,Forward,34,97,375,1.87
Royston Drenthe,Defender,30,22,210,1.67
Gaël Kakuta,Midfielder,26,25,156,1.73
Christian Benteke Liolo,Forward,27,116,275,1.9
Antonio Adán Garrido,Goalkeeper,30,0,269,1.9
James McFadden,Forward,34,76,375,1.778
Ákos Buzsáky,Midfielder,35,38,312,1.8
Milo,Defender,27,8,136,1.78
Per Mertesacker,Defender,33,29,494,1.98
Stefanos Kapino,Goalkeeper,23,0,91,1.96
Goran Popov,Defender,33,13,302,1.89
Joan Isaac Cuenca López,Midfielder,26,14,112,1.79
Sergi Roberto,Defender,26,11,199,1.78
Jean II Makoun,Midfielder,34,32,452,1.73
Eliseu,Defender,34,33,342,1.8
Federico Peluso,Defender,34,13,359,1.88
Bartosz Salamon,Centre-back,26,9,169,1.96
Tony Jantschke,Defender,27,7,196,1.77
Luca Toni,Striker,40,228,511,1.93
Brede Paulsen Hangeland,Centre back,36,23,518,1.99
William Donald Grigg,Forward,26,85,257,1.8034
Adrian Mutu,Midfielder,39,175,465,1.81
Alessandro Del Piero,Forward,43,250,614,1.74
Andrew Lonergan,Goalkeeper,34,1,338,1.8288
Kaka,Midfielder,35,172,533,1.86
Lisandro López,Forward,35,158,381,1.74
George Elokobi,Defender,31,9,185,1.83
Asmir Begović,Goalkeeper,30,1,284,1.98
Yoan Gouffran,Midfielder,31,81,374,1.75
Cristian Zaccardo,Defender,36,26,463,1.84
Vadis Odjidja-Ofoe,Midfielder,29,27,211,1.85
Jacob Butterfield,Midfielder,27,25,226,1.8
Andros Townsend,Midfielder,26,21,186,1.81
Jordan Bowery,Forward,26,23,180,1.85
Michu,Midfielder,31,81,339,1.85
Vurnon Anita,Right Back,28,15,263,1.66
Bafétimbi Gomis,Forward,32,132,419,1.84
Ross Barkley,Attacking midfielder,24,26,164,1.8796
Matty Kennedy,Winger,23,9,92,1.7526
Kurt Happy Zouma,Centre back,23,6,126,1.9
Mario Sampirisi,Defender,25,1,124,1.85
Mikkel Andersen,Goalkeeper,29,0,155,1.9558
José Manuel Rueda,Midfielder,30,14,197,1.78
Lucas Digne,Defender,24,5,157,1.78
Scott Dann,Defender,31,27,344,1.9558
Adel Taarabt,Midfielder,28,43,218,1.82
Charlie Green,Midfielder,30,39,359,1.8
Alan Yelizbarovich Dzagoev,Attacking midfielder,27,63,291,1.8
Jack Rodwell,Midfielder,27,13,167,1.88
Aras Özbiliz,Midfielder,28,20,111,1.75
Jean-Jacques Gosso Gosso,Defensive midfielder,34,7,299,1.77
Pablo Daniel Osvaldo,Forward,32,94,295,1.82
Jacques Zoua Daogari,Forward,26,34,192,1.86
Georgios Karagounis,Midfielder,41,75,589,1.76
OIH,Midfielder,38,155,600,1.7
Stoppila Sunzu,Defender,28,10,129,1.89
John Guidetti,Forward,25,64,142,1.85
Federico Balzaretti,Defender,36,9,442,1.8
Somen Tchoyi,Attacking Midfielder,34,35,229,1.9
Juan Francisco Torres Belén,Defender,33,25,432,1.8
Ivan Rakitić,Midfielder,30,80,411,1.84
Kevin Phillips,Forward,44,246,589,1.7018
Allan James McGregor,Goalkeeper,36,0,416,1.8288
Michal Kadlec,Defender,33,20,330,1.85
Moritz Leitner,Midfielder,25,12,122,1.76
Bebé,Forward,27,22,141,1.9
Vincent Jean Mpoy Kompany,Defender,31,24,398,1.9304
André Morgan Rami Ayew,Winger,28,78,321,1.76
Stéphane Mbia Etoundi,Midfielder,31,27,353,1.9
Steven Naismith,Forward,31,89,379,1.78
Nick Blackman,Forward,28,45,214,1.8796
Lars Bender,Midfielder,28,24,250,1.84
Matías Ezequiel Suárez,Forward,29,63,231,1.76
Dedé,Centre back,29,16,194,1.92
Arkadiusz Milik,Forward,24,69,148,1.86
Rogelio Gabriel Funes Mori,Forward,27,73,201,1.85
Jordan Rhodes,Forward,28,182,355,1.8542
Nicolás Pareja,Defender,34,9,260,1.81
Craig Gordon,Goalkeeper,35,0,360,1.9304
André Weis,Goalkeeper,28,0,136,1.9
Yannick Sagbo,Striker,29,57,236,1.8288
Mario Götze,Midfielder,25,52,183,1.76
Darren Bent,Forward,34,170,452,1.8034
Manu,Forward,34,76,419,1.85
Daniel Carvajal,Defender,26,7,218,1.73
Peer Kluge,Midfielder,37,23,329,1.79
Nicklas Bendtner,Forward,30,57,242,1.94
Michael John Kightly,Midfielder,32,59,305,1.7526
Costel Pantilimon,Goalkeeper,31,0,190,2.03
André,Defender,26,11,114,1.82
Craig Alexander Goodwin,Defender,26,22,167,1.8
Mauricio Ezequiel Sperduti,Midfielder,32,22,210,1.79
Jorge Teixeira,Defender,31,20,282,1.88
Jesús Navas González,Midfielder,32,33,459,1.7
Loïc Rémy,Midfielder,31,96,279,1.85
John Stones,Right-back,23,1,126,1.88
Marcos Alonso Mendoza,Defender,27,12,156,1.88
Éder,Forward,60,62,247,1.76
Samuel Edward Thomas Baldock,Striker,28,82,266,1.7018
Sammy Clingan,Midfielder,34,23,341,1.8034
Novothny Soma,Forward,23,28,106,1.85
Kaspars Gorkšs,Defender,36,44,527,1.92
Daniel Agger,Defender,33,37,347,1.91
Luis Alberto Romero,Midfielder,25,45,181,1.82
Jermain Defoe,Forward,35,194,542,1.7018
Mario Gómez García,Forward,32,198,368,1.89
Sebastian Rode,Midfielder,27,10,157,1.79
Rubén Rochina Naixes,Midfielder,26,32,183,1.79
Luis Pedro Cavanda,Defender,27,1,116,1.8
Andreas Ivanschitz,Midfielder,34,68,435,1.83
Sylvain Armand,Defender,37,20,516,1.82
Rata Mudo,Forward,40,185,532,1.78
Aboubakar Oumarou,Forward,31,67,270,1.82
Raul Andrei Rusescu,Forward,29,93,285,1.81
Diego Mario Buonanotte Rende,Midfielder,29,49,252,1.61
Callum Henry McManaman,Midfielder,26,12,117,1.74
Elderson Echiéjilé,Defender,30,9,225,1.84
Beñat Etxebarria Urkiaga,Midfielder,31,35,368,1.75
Jeremain Marciano Lens,Left winger,30,70,262,1.78
Dazet Wilfried Armel Zaha,Midfielder,25,21,228,1.8034
Václav Kadlec,Forward,25,70,200,1.8
Valentin Roberge,Defender,30,3,184,1.85
Éric Abidal,Defender,38,0,395,1.86
Guillermo Varela Olivera,Defender,24,1,65,1.73
Danny Graham,Forward,32,111,397,1.8542
Fraser Anderson Fyvie,Midfielder,24,9,119,1.72
Adam Maher,Midfielder,24,27,160,1.74
Tom Huddlestone,Midfielder,31,14,373,1.905
Leroy Halirou Bohari Lita,Forward,33,103,373,1.76
Jan Kirchhoff,Defender,27,6,145,1.95
Nacho Monreal,Defender,32,8,344,1.78
Romelu Lukaku,Forward,24,101,239,1.9
Ronaldo de Assis Moreira,Midfielder,37,191,479,1.81
Angelo Ogbonna,Defender,29,1,265,1.91
Paolo Guerrero,Forward,34,151,391,1.85
Mapou Yanga-Mbiwa,Defender,28,8,295,1.84
Sami Khedira,Midfielder,30,41,338,1.89
Artur Guilherme Moraes Gusmão,Goalkeeper,37,0,206,1.92
Jackson Arley Martínez Valencia,Forward,31,166,348,1.85
Knowledge Musona,Striker,27,60,183,1.74
Theo Walcott,Forward,28,70,284,1.76
Henri Bienvenu Ntsama,Forward,29,59,209,1.8
Ángelo José Henríquez Iturra,Forward,23,72,147,1.75
Paulo Henrique Ganso,Midfielder,28,26,224,1.84
Yacouba Sylla,Midfielder,27,1,154,1.84
Moussa Dembélé,Forward,21,26,84,1.83
Guirane N'Daw,Defensive midfielder,33,17,401,1.9
George Andrew Jordan Friend,Defender,30,9,294,1.8796
Seydou Keita,Midfielder,38,79,569,1.83
Álvaro Pereira,Defender,32,26,371,1.82
Jermaine Anthony Jenas,Midfielder,35,39,347,1.8034
Santi Cazorla,Midfielder,33,84,506,1.68
Ezequiel Matías Schelotto,Defender,28,16,219,1.87
Andreas Evald Cornelius,Forward,24,46,140,1.93
Michael Agazzi,Goalkeeper,33,0,270,1.91
Samuel Inkoom,Winger,28,2,165,1.79
Adryan,Midfielder,23,13,91,1.75
Daniele De Rossi,Defensive midfielder,34,42,416,1.85
Fabrizio Miccoli,Forward,38,200,557,1.68
Curtis Eugene Davies,Defender,32,22,379,1.8796
Oriol Romeu Vidal,Midfielder,26,3,166,1.82
Jonjo Shelvey,Central midfielder,26,35,218,1.85
Juan Fernando Quintero Paniagua,Midfielder,25,26,159,1.68
Bakary Sako,Attacking midfielder,29,67,337,1.8288
Aymen Abdennour,Defender,28,9,211,1.87
Victor Wanyama,Midfielder,26,21,241,1.88
Samuel Umtiti,Defender,24,5,182,1.81
Yaya Sanogo,Forward,25,58,127,1.93
Daniel Peter Simpson,Defender,31,2,278,1.778
Liédson,Forward,40,171,352,1.75
Frederico André Ferrão Venâncio,Defender,25,3,97,1.86
Christian Benítez,Forward,31,159,346,1.68
Manuel Almunia,Goalkeeper,40,0,328,1.92
William Gallas,Defender,40,34,552,1.81
Mark Milligan,Defender,32,42,349,1.78
Djombo Dany-Gael N'Guessan,Forward,30,42,244,1.8288
Alejandro Faurlín,Midfielder,31,20,253,1.85
Luciano Héctor Becchio,Forward,34,116,342,1.8669
Felipe Anderson,Midfielder,24,25,148,1.78
Kévin Gameiro,Forward,30,127,334,1.72
Carlos Bacca,Forward,31,186,372,1.81
Diego Martín Novaretti,Defender,32,17,296,1.94
Shinji Kagawa,Forward,31,104,428,1.82
Nicklas Helenius Jensen,Striker,26,53,179,1.95
Adrian Winter,Attacking midfielder,31,41,299,1.78
Thomas Kahlenberg,Midfielder,34,56,355,1.83
Hideto Takahashi,Midfielder,30,10,139,1.83
Steven Davis,Midfielder,33,33,421,1.73
Andrés Fernández Moreno,Goalkeeper,31,0,261,1.84
Luis Alberto Suárez Díaz,Forward,31,284,442,1.82
Demba Ba,Forward,32,152,311,1.89
Jamie Mackie,Forward,32,67,389,1.8
Amido Baldé,Forward,26,33,160,1.93
Charlie Austin,Forward,28,195,331,1.8796
Bryan Oviedo,Defender,28,5,134,1.72
Marco Rodrigo Rojas,Midfielder,26,33,183,1.68
Ricardo Alexis Laborde León,Winger,30,24,139,1.73
Deniz Aycicek,Midfielder,27,21,117,1.77
Mubarak Wakaso,Midfielder,27,21,193,1.71
Christian Schneuwly,Midfielder,30,33,233,1.78
Manuel Jesús Vázquez Florido,Forward,27,54,159,1.77
Daniel Lee Rose,Left-back,27,14,196,1.73
Georginio Wijnaldum,Midfielder,27,93,321,1.75
Paul Scharner,Defender,38,40,429,1.9
Eiður Guðjohnsen,Forward,39,127,538,1.8542
Tommaso Rocchi,Forward,40,166,550,1.77
Ilombe Mboyo,Forward,30,61,202,1.9
Heurelho da Silva Gomes,Goalkeeper,37,0,403,1.91
Alexandru Iulian Maxim,Midfielder,27,23,197,1.79
Wilson Palacios,Midfielder,33,39,350,1.78
Carles Puyol Saforcada,Defender,39,18,493,1.78
Roman Nikolayevich Shirokov,Midfielder,36,67,354,1.83
Andreas Granqvist,Defender,32,30,421,1.92
Sebastián Coates,Defender,27,13,161,1.96
Eliaquim Mangala,Defender,27,10,208,1.87
Ádám Szalai,Forward,30,84,320,1.93
Filip Twardzik,Central Midfielder,25,7,35,1.85
Jacques-Alaixys Romao,Midfielder,34,13,500,1.8
Jake Livermore,Midfielder,28,10,197,1.8
Sergio Escudero,Forward,29,32,221,1.72
Michael Essien,Midfielder,35,55,415,1.78
Florian Hübner,Defender,27,11,161,1.91
Vegard Forren,Defender,30,14,281,1.86
Jonathan Williams,Midfielder,24,4,126,1.7018
M'Baye Niang,Forward,23,26,136,1.85
Pape Amodou Sougou,Midfielder,33,44,284,1.78
Tendayi Darikwa,Defender,26,10,152,1.8796
Jérémy Ménez,Forward,30,85,359,1.82
Felipe Santana,Defender,31,12,172,1.96
Diego Roberto Godín Leal,Defender,32,29,476,1.86
Edinson Cavani,Forward,31,231,449,1.84
Joleon Lescott,Defender,35,36,510,1.9
Welliton Soares de Morais,Forward,31,108,265,1.72
Josmer Volmy Altidore,Forward,28,86,250,1.8542
Edgar Prib,Midfielder,28,17,208,1.81
Anthony Jung,Defender,26,6,159,1.84
Juan Pablo Carrizo,Goalkeeper,33,0,177,1.89
Danko Lazović,Forward,34,145,432,1.84
Djamel Mesbah,Defender,33,17,294,1.79
Kieron Courtney Dyer,Midfielder,39,35,346,1.73
Radamel Falcao,Forward,32,173,345,1.77
Ibrahim Afellay,Midfielder,31,51,293,1.8
Tiago Abiola Delfim Almeida Ilori,Defender,25,3,79,1.9
Ryan Babel,Forward,31,58,312,1.85
Federico Fazio,Defender,30,18,261,1.95
McDonald Mariga Wanyama,Midfielder,30,17,204,1.88
Alexander Büttner,Midfielder,29,13,163,1.74
John Carew,Forward,38,134,378,1.95
Maximilian Kruse,Forward,29,77,321,1.8
Luc Castaignos,Forward,25,78,188,1.87
Stefano Sorrentino,Goalkeeper,38,0,487,1.83
Sébastien Corchia,Defender,27,11,280,1.75
Leon Goretzka,Midfielder,23,17,128,1.89
Stanislav Manolev,Defender,32,30,332,1.85
Valentin Stocker,Midfielder,28,67,270,1.78
Bilel Mohsni,Defender,30,42,260,1.905
Robbie Thomas Kruse,Forward,29,33,200,1.79
